,nbi,441.525,490.912,531.319,564.992,609.889,666.011,706.418,865.803
20210720_D3_101,35.9,0.03753288462758064,0.04299594834446907,0.06513045728206635,0.07213417440652847,0.07140911370515823,0.0678839236497879,0.12480004876852036,0.24971908330917358
20210720_D3_102,36.0,0.03598564490675926,0.04089805483818054,0.061623089015483856,0.0675903782248497,0.06609578430652618,0.06177344173192978,0.11554491519927979,0.24887698888778687
20210720_D3_105,34.26666667,0.03283541277050972,0.037810273468494415,0.06275679916143417,0.06860201060771942,0.06045249477028847,0.05273904651403427,0.1118888258934021,0.289762943983078
20210720_D3_109,35.4,0.04076676443219185,0.04685349389910698,0.07109399884939194,0.08016267418861389,0.0762491300702095,0.06941236555576324,0.13372577726840973,0.26738160848617554
20210720_D3_098,36.83333333,0.038902126252651215,0.04384884610772133,0.06690893322229385,0.07658760994672775,0.07297154515981674,0.06609043478965759,0.12506474554538727,0.2418815642595291
20210720_D3_095,18.7,0.04229924455285072,0.04964825510978699,0.07305699586868286,0.08509456366300583,0.08464277535676956,0.07863444089889526,0.1391090452671051,0.23428544402122498
20210720_D3_092,33.83333333,0.03421420976519585,0.038465581834316254,0.06556128710508347,0.07004141807556152,0.062047071754932404,0.0530584454536438,0.11830426007509232,0.285308301448822
20210720_D3_081,35.83333333,0.03393082693219185,0.038827475160360336,0.058946918696165085,0.065334253013134,0.06361261755228043,0.05924263969063759,0.1124539002776146,0.23527364432811737
20210720_D3_082,29.13333333,0.028948776423931122,0.03220641240477562,0.05540134385228157,0.05862698704004288,0.05083524435758591,0.04342826455831528,0.1022641584277153,0.2700752913951874
20210720_D3_083,31.8,0.030776990577578545,0.03515864163637161,0.06059488281607628,0.06567754596471786,0.058266978710889816,0.0507357232272625,0.11083890497684479,0.2623822093009949
20210720_D3_086,28.16666667,0.03279300406575203,0.03805862367153168,0.057429905980825424,0.0644921138882637,0.06143394112586975,0.05718545243144035,0.10885004699230194,0.2376987785100937
20210720_D3_087,24.13333333,0.03591560572385788,0.04022890701889992,0.06548309326171875,0.07164310663938522,0.06427862495183945,0.05635731667280197,0.12111292779445648,0.27029356360435486
